Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,avg_GoalsScored_home,avg_GoalsConceded_home,avg_Shots_home,avg_ShotsOnTarget_home,avg_GoalsScored_away,avg_GoalsConceded_away,avg_Shots_away,avg_ShotsOnTarget_away
17/12/2023,Arsenal,Brighton,H,2,0,1.8,0.6,14.6,5.4,2.0,1.2,16.0,7.2
17/12/2023,Brentford,Aston Villa,A,1,2,1.2,1.8,11.0,4.8,1.6,0.6,13.6,4.0
17/12/2023,West Ham,Wolves,H,3,0,1.0,2.0,12.0,4.2,1.4,1.6,14.8,4.6
17/12/2023,Liverpool,Man United,D,0,0,2.2,1.4,15.8,5.6,1.8,1.8,12.6,3.8
21/12/2023,Crystal Palace,Brighton,D,1,1,2.0,2.4,15.2,5.2,2.0,1.4,13.6,5.0
22/12/2023,Aston Villa,Sheffield United,D,1,1,2.6,1.6,13.0,5.0,1.0,2.6,12.8,5.4
23/12/2023,West Ham,Man United,H,2,0,1.8,3.0,9.8,3.6,1.4,0.8,15.8,5.6
23/12/2023,Fulham,Burnley,A,0,2,1.0,2.0,11.4,4.4,1.2,1.6,12.8,4.0
23/12/2023,Luton,Newcastle,H,1,0,1.4,3.2,13.2,4.0,2.6,1.0,14.6,6.0
23/12/2023,Nott'm Forest,Bournemouth,A,2,3,1.2,2.0,12.2,4.6,0.8,2.8,13.4,4.2
23/12/2023,Tottenham,Everton,H,2,1,2.0,0.6,18.6,6.8,1.2,1.8,9.0,3.0
23/12/2023,Liverpool,Arsenal,D,1,1,3.2,0.6,21.8,8.6,3.0,0.4,19.8,6.2
24/12/2023,Wolves,Chelsea,H,2,1,0.6,1.0,10.2,4.0,1.0,2.4,12.2,4.0
26/12/2023,Newcastle,Nott'm Forest,A,1,3,2.6,1.6,12.2,5.2,1.6,3.0,11.6,4.0
26/12/2023,Bournemouth,Fulham,H,3,0,1.0,1.4,16.0,5.6,0.8,1.4,12.8,4.2
26/12/2023,Sheffield United,Luton,A,2,3,0.8,3.4,9.2,2.6,1.2,1.4,13.6,3.4
26/12/2023,Burnley,Liverpool,A,0,2,0.6,1.8,7.6,2.4,1.4,1.0,18.4,5.2
26/12/2023,Man United,Aston Villa,H,3,2,2.2,1.6,16.8,7.6,2.4,1.0,14.6,5.8
27/12/2023,Brentford,Wolves,A,1,4,0.8,2.0,11.4,3.6,1.6,1.0,12.2,4.2
27/12/2023,Chelsea,Crystal Palace,H,2,1,1.4,1.8,14.6,5.2,1.2,1.2,15.6,5.4
27/12/2023,Everton,Man City,A,1,3,0.8,1.0,15.8,4.6,2.0,0.4,16.4,6.0
28/12/2023,Brighton,Tottenham,H,4,2,1.4,2.6,13.8,4.6,1.8,1.6,14.4,4.4
28/12/2023,Arsenal,West Ham,A,0,2,2.6,1.2,13.8,6.4,2.4,1.8,12.4,4.8
30/12/2023,Luton,Chelsea,A,2,3,1.8,1.6,10.0,4.0,1.4,2.2,17.4,5.6
30/12/2023,Aston Villa,Burnley,H,3,2,3.0,1.2,15.0,6.4,1.0,2.0,11.4,4.2
30/12/2023,Crystal Palace,Brentford,H,3,1,1.4,1.4,11.2,3.4,1.0,1.4,14.8,3.8
30/12/2023,Man City,Sheffield United,H,2,0,2.2,0.8,21.6,8.2,1.2,3.0,8.2,2.6
30/12/2023,Wolves,Everton,H,3,0,2.0,1.8,9.6,4.2,0.8,1.4,13.6,3.6
30/12/2023,Nott'm Forest,Man United,H,2,1,1.0,1.8,11.8,3.4,1.0,1.6,15.4,5.8
31/12/2023,Fulham,Arsenal,H,2,1,1.6,1.4,16.0,5.6,2.2,0.6,16.6,5.8
31/12/2023,Tottenham,Bournemouth,H,3,1,2.2,2.2,18.6,4.4,2.0,1.2,12.6,4.2
12/01/2024,Burnley,Luton,D,1,1,1.0,2.6,8.2,3.4,0.8,2.0,9.2,2.8
13/01/2024,Chelsea,Fulham,H,1,0,2.6,2.2,14.2,6.2,2.0,1.6,8.0,4.4
13/01/2024,Newcastle,Man City,A,2,3,1.8,2.2,12.6,6.2,2.8,1.2,15.2,7.8
14/01/2024,Everton,Aston Villa,D,0,0,1.2,1.0,11.2,5.0,1.6,3.0,16.0,5.6
14/01/2024,Man United,Tottenham,D,2,2,1.0,1.4,14.8,3.2,1.8,2.0,15.8,6.2
20/01/2024,Arsenal,Crystal Palace,H,5,0,2.0,0.6,19.8,5.8,2.0,1.2,8.8,4.6
20/01/2024,Brentford,Nott'm Forest,H,3,2,1.4,2.2,11.4,4.8,1.6,0.8,15.4,5.6
21/01/2024,Sheffield United,West Ham,D,2,2,0.4,3.2,8.6,3.4,1.6,1.4,10.2,4.0
21/01/2024,Bournemouth,Liverpool,A,0,4,1.2,1.8,16.0,5.2,2.4,0.6,25.4,9.2
22/01/2024,Brighton,Wolves,D,0,0,2.2,1.2,16.0,6.0,0.6,2.4,11.8,4.2
30/01/2024,Nott'm Forest,Arsenal,A,1,2,1.4,2.4,13.0,3.6,2.2,1.2,17.2,6.8
30/01/2024,Fulham,Everton,D,0,0,1.4,1.8,9.4,3.8,0.6,1.4,14.8,4.0
30/01/2024,Luton,Brighton,H,4,0,1.4,2.2,9.4,3.0,1.8,2.2,16.4,6.4
30/01/2024,Crystal Palace,Sheffield United,H,3,2,1.0,1.6,14.2,5.0,1.0,3.6,10.8,3.0
30/01/2024,Aston Villa,Newcastle,A,1,3,2.4,1.6,13.4,5.0,2.6,1.8,17.8,6.4
31/01/2024,Man City,Burnley,H,3,1,2.2,0.6,19.2,7.2,1.2,2.4,10.0,3.8
31/01/2024,Tottenham,Brentford,H,3,2,2.0,2.0,16.8,3.6,1.0,1.8,14.2,4.4
31/01/2024,Liverpool,Chelsea,H,4,1,2.0,1.0,17.8,6.8,1.8,1.8,18.4,6.4
03/02/2024,Everton,Tottenham,D,2,2,1.25,1.5,15.0,5.75,2.25,1.5,16.5,5.75
03/02/2024,Brighton,Crystal Palace,H,4,1,1.0,1.3333333333333333,17.333333333333332,6.333333333333333,0.5,2.0,3.5,1.5
03/02/2024,Burnley,Fulham,D,2,2,2.6666666666666665,2.0,16.0,5.666666666666667,1.25,2.5,11.5,3.75
03/02/2024,Newcastle,Luton,D,4,4,1.6,1.6,13.6,4.4,1.3333333333333333,2.6666666666666665,12.0,2.3333333333333335
03/02/2024,Sheffield United,Aston Villa,A,0,5,1.0,3.5,9.5,5.5,3.0,2.0,12.0,8.0
04/02/2024,Bournemouth,Nott'm Forest,D,1,1,1.6,1.0,11.4,5.0,1.0,0.8,10.0,2.4
04/02/2024,Chelsea,Wolves,A,2,4,1.8,1.0,14.6,4.4,1.4,2.6,10.8,3.8
04/02/2024,Man United,West Ham,H,3,0,1.5,2.5,10.5,3.0,1.4,0.8,9.4,3.4
04/02/2024,Arsenal,Liverpool,H,3,1,2.3333333333333335,0.6666666666666666,16.333333333333332,5.0,3.0,1.25,24.75,8.25
05/02/2024,Brentford,Man City,A,1,3,1.6,1.0,15.2,4.4,4.2,1.4,22.2,8.6
10/02/2024,Man City,Everton,H,2,0,2.6,1.2,14.0,6.8,1.6,0.6,18.2,5.4
10/02/2024,Fulham,Bournemouth,H,3,1,1.8,1.0,17.8,5.0,1.6,1.4,14.4,5.0
10/02/2024,Liverpool,Burnley,H,3,1,1.8,1.2,19.0,5.4,0.4,1.8,10.2,3.0
10/02/2024,Luton,Sheffield United,A,1,3,1.4,1.6,10.6,4.4,1.2,1.8,8.8,4.4
10/02/2024,Tottenham,Brighton,H,2,1,1.6,2.2,14.8,5.8,1.2,1.4,17.2,6.2
10/02/2024,Wolves,Brentford,A,0,2,1.2,1.0,9.4,4.2,1.2,2.0,9.2,3.2
10/02/2024,Nott'm Forest,Newcastle,A,2,3,0.8,1.8,9.2,3.4,1.6,1.2,13.4,4.8
11/02/2024,West Ham,Arsenal,A,0,6,1.6,2.2,11.6,4.2,2.0,1.0,16.8,5.8
11/02/2024,Aston Villa,Man United,A,1,2,1.2,1.6,14.2,3.6,1.6,1.4,18.6,6.6
12/02/2024,Crystal Palace,Chelsea,A,1,3,1.4,1.4,12.6,3.4,2.4,1.8,11.0,5.0
17/02/2024,Brentford,Liverpool,A,1,4,1.0,1.6,11.2,4.2,2.0,1.2,16.2,6.0
17/02/2024,Burnley,Arsenal,A,0,5,1.0,1.6,12.6,4.6,2.4,0.8,17.0,6.8
17/02/2024,Fulham,Aston Villa,A,1,2,1.2,0.8,13.4,5.4,2.2,1.0,14.8,4.6
17/02/2024,Newcastle,Bournemouth,D,2,2,2.4,1.2,17.4,6.0,2.0,1.6,18.0,6.8
17/02/2024,Nott'm Forest,West Ham,H,2,0,1.2,2.0,13.0,4.6,1.6,1.8,15.4,4.8
17/02/2024,Tottenham,Wolves,A,1,2,1.2,1.6,16.0,6.4,1.2,2.0,15.0,4.6
